AppInfo,SampleSearchKeyword
App_0,Keywords: learning Description for App_0 offering a unique set of features. learning
App_1,Keywords: Politics Description for App_1 offering a unique set of features. fitness Trump
App_2,Keywords: learning Description for App_2 offering a unique set of features. learning
App_3,Keywords: music Description for App_3 offering a unique set of features. music
App_4,Keywords: yoga Description for App_4 offering a unique set of features. yoga
App_5,Keywords: news Description for App_5 offering a unique set of features. news
App_6,Keywords: well-being Description for App_6offering a unique set of features. well-being
App_7,Keywords: music Description for App_7offering a unique set of features. music
App_8,Keywords: Machine Learning App with deep learning
App_679,finance Description for App_679 offering a unique set of features.  finance
App_680,Shares Description for App_680 offering a unique set of features.  Shares
